Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
JH Edrich,ENG,,82,,,133,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM Chappell,AUS,,60,87,,169,226,,,,123,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Walters,AUS,,41,17,,19,141,,12,,46,60,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WM Lawry,AUS,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWR Fletcher,ENG,,24,114,106,96,267,,,,,,31,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APE Knott,ENG,,24,56,12,15,20,48,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS Chappell,AUS,,22,101,,117,232,,174,,273,346,454,338,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BL D'Oliveira,ENG,,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR Stackpole,AUS,,13,150,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR Redpath,AUS,,12,,,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH Hampshire,ENG,,10,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW Marsh,AUS,,10,17,,1,92,,43,,100,107,215,101,257,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Boycott,ENG,,8,74,35,,,,,9,493,350,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K Shuttleworth,ENG,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Lever,ENG,,4,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Snow,ENG,,2,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC Cowdrey,ENG,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Illingworth,ENG,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN Connolly,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD McKenzie,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Mallett,AUS,,,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL Thomson,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Amiss,ENG,,,168,134,20,293,93,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Sheahan,AUS,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Edwards,AUS,,,69,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW Greig,ENG,,,55,79,72,32,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Close,ENG,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Wood,ENG,,,19,,,130,38,,34,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAL Massie,AUS,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR Hammond,AUS,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Lillee,AUS,,,13,,,19,,,,60,29,68,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GG Arnold,ENG,,,11,17,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD Watson,AUS,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
